Testing size of 20000--------------,,,,Recursion limit (x),20k,40k,60k,80k,100k,200k,400k,500k,550k,600k,670k,700k,800k,1 million,2 million,3 million,4 million,5 million ,6 million,8 million,
76,9,,,,,,,,,,,,,,,,,,,,,,,,
78,9,,,,,,,,,,,,,,,,,,,,,,,,
80,10,,,,,,,,,,,,,,,,,,,,,,,,
82,10,,,,,,,,,,,,,,,,,,,,,,,,
84,10,,,,,,,,,,,,,,,,,,,,,,,,
86,10,,,,,,,,,,,,,,,,,,,,,,,,
88,11,,,,,,,,,,,,,,,,,,,,,,,,
90,10,,,,,,,,,,,,,,,,,,,,,,,,
92,10,,,,,,,,,,,,,,,,,,,,,,,,
94,10,,,,,,,,,,,,,,,,,,,,,,,,
96,10,,,,,,,,,,,,,,,,,,,,,,,,
98,10,,,,,,,,,,,,,,,,,,,,,,,,
100,10,,,,,,,,,,,,,,,,,,,,,,,,
102,10,,,,,,,,,,,,,,,,,,,,,,,,
104,10,,,,,,,,,,,,,,,,,,,,,,,,
106,11,,,,,,,,,,,,,,,,,,,,,,,,
108,10,,,,,,,,,,,,,,,,,,,,,,,,
110,10,,,,,,,,,,,,,,,,,,,,,,,,
112,10,,,,,,,,,,,,,,,,,,,,,,,,
114,10,,,,,,,,,,,,,,,,,,,,,,,,
116,11,,,,,,,,,,,,,,,,,,,,,,,,
118,11,,,,,,,,,,,,,,,,,,,,,,,,
120,11,,,,,,,,,,,,,,,,,,,,,,,,
122,11,,,,,,,,,,,,,,,,,,,,,,,,
124,10,,,,,,,,,,,,,,,,,,,,,,,,
126,12,,,,,,,,,,,,,,,,,,,,,,,,
128,11,,,,,,,,,,,,,,,,,,,,,,,,
130,11,,,,,,,,,,,,,,,,,,,,,,,,
132,11,,,,,,,,,,,,,,,,,,,,,,,,
134,11,,,,,,,,,,,,,,,,,,,,,,,,
136,11,,,,,,,,,,,,,,,,,,,,,,,,
138,11,,,,,,,,,,,,,,,,,,,,,,,,
140,11,,,,,,,,,,,,,,,,,,,,,,,,
142,11,,,,,,,,,,,,,,,,,,,,,,,,
144,12,,,,,,,,,,,,,,,,,,,,,,,,
146,12,,,,,,,,,,,,,,,,,,,,,,,,
148,12,,,,,,,,,,,,,,,,,,,,,,,,
150,12,,,,,,,,,,,,,,,,,,,,,,,,
152,12,,,,,,,,,,,,,,,,,,,,,,,,
154,12,,,,,,,,,,,,,,,,,,,,,,,,
156,12,,,,,,,,,,,,,,,,,,,,,,,,
158,13,,,,,,,,,,,,,,,,,,,,,,,,
160,13,,,,,,,,,,,,,,,,,,,,,,,,
162,12,,,,,,,,,,,,,,,,,,,,,,,,
164,13,,,,,,,,,,,,,,,,,,,,,,,,
166,13,,,,,,,,,,,,,,,,,,,,,,,,
168,14,,,,,,,,,,,,,,,,,,,,,,,,
170,14,,,,,,,,,,,,,,,,,,,,,,,,
172,18,,,,,,,,,,,,,,,,,,,,,,,,
174,14,,,,,,,,,,,,,,,,,,,,,,,,
176,14,,,,,,,,,,,,,,,,,,,,,,,,
178,14,,,,,,,,,,,,,,,,,,,,,,,,
180,14,,,,,,,,,,,,,,,,,,,,,,,,
182,14,,,,,,,,,,,,,,,,,,,,,,,,
184,14,,,,,,,,,,,,,,,,,,,,,,,,
186,14,,,,,,,,,,,,,,,,,,,,,,,,
188,15,,,,,,,,,,,,,,,,,,,,,,,,
190,17,,,,,,,,,,,,,,,,,,,,,,,,
192,15,,,,,,,,,,,,,,,,,,,,,,,,
194,13,,,,,,,,,,,,,,,,,,,,,,,,
196,13,,,,,,,,,,,,,,,,,,,,,,,,
198,13,,,,,,,,,,,,,,,,,,,,,,,,
200,14,,,,,,,,,,,,,,,,,,,,,,,,
202,14,,,,,,,,,,,,,,,,,,,,,,,,
204,14,,,,,,,,,,,,,,,,,,,,,,,,
206,13,,,,,,,,,,,,,,,,,,,,,,,,
208,14,,,,,,,,,,,,,,,,,,,,,,,,
210,14,,,,,,,,,,,,,,,,,,,,,,,,
212,14,,,,,,,,,,,,,,,,,,,,,,,,
214,14,,,,,,,,,,,,,,,,,,,,,,,,
216,13,,,,,,,,,,,,,,,,,,,,,,,,
218,14,,,,,,,,,,,,,,,,,,,,,,,,
220,14,,,,,,,,,,,,,,,,,,,,,,,,
222,14,,,,,,,,,,,,,,,,,,,,,,,,
224,14,,,,,,,,,,,,,,,,,,,,,,,,
226,14,,,,,,,,,,,,,,,,,,,,,,,,
228,14,,,,,,,,,,,,,,,,,,,,,,,,
230,14,,,,,,,,,,,,,,,,,,,,,,,,
232,14,,,,,,,,,,,,,,,,,,,,,,,,
234,14,,,,,,,,,,,,,,,,,,,,,,,,
236,14,,,,,,,,,,,,,,,,,,,,,,,,
238,14,,,,,,,,,,,,,,,,,,,,,,,,
240,14,,,,,,,,,,,,,,,,,,,,,,,,
242,14,,,,,,,,,,,,,,,,,,,,,,,,
244,14,,,,,,,,,,,,,,,,,,,,,,,,
246,15,,,,,,,,,,,,,,,,,,,,,,,,
248,15,,,,,,,,,,,,,,,,,,,,,,,,
250,15,,,,,,,,,,,,,,,,,,,,,,,,
252,15,,,,,,,,,,,,,,,,,,,,,,,,
254,15,,,,,,,,,,,,,,,,,,,,,,,,
256,15,,,,,,,,,,,,,,,,,,,,,,,,
258,16,,,,,,,,,,,,,,,,,,,,,,,,
260,15,,,,,,,,,,,,,,,,,,,,,,,,
262,17,,,,,,,,,,,,,,,,,,,,,,,,
264,15,,,,,,,,,,,,,,,,,,,,,,,,
266,16,,,,,,,,,,,,,,,,,,,,,,,,
268,17,,,,,,,,,,,,,,,,,,,,,,,,
270,16,,,,,,,,,,,,,,,,,,,,,,,,
272,17,,,,,,,,,,,,,,,,,,,,,,,,
274,17,,,,,,,,,,,,,,,,,,,,,,,,
276,17,,,,,,,,,,,,,,,,,,,,,,,,
278,17,,,,,,,,,,,,,,,,,,,,,,,,
280,17,,,,,,,,,,,,,,,,,,,,,,,,
282,16,,,,,,,,,,,,,,,,,,,,,,,,
284,16,,,,,,,,,,,,,,,,,,,,,,,,
286,16,,,,,,,,,,,,,,,,,,,,,,,,
288,16,,,,,,,,,,,,,,,,,,,,,,,,
290,16,,,,,,,,,,,,,,,,,,,,,,,,
292,18,,,,,,,,,,,,,,,,,,,,,,,,
294,17,,,,,,,,,,,,,,,,,,,,,,,,
296,17,,,,,,,,,,,,,,,,,,,,,,,,
298,16,,,,,,,,,,,,,,,,,,,,,,,,
300,17,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Testing size of 80000--------------,,,,,,,,,,,,,,,,,,,,,,,,,
2,12,,,,,,,,,,,,,,,,,,,,,,,,
4,14,,,,,,,,,,,,,,,,,,,,,,,,
6,12,,,,,,,,,,,,,,,,,,,,,,,,
8,12,,,,,,,,,,,,,,,,,,,,,,,,
10,12,,,,,,,,,,,,,,,,,,,,,,,,
12,12,,,,,,,,,,,,,,,,,,,,,,,,
14,11,,,,,,,,,,,,,,,,,,,,,,,,
16,11,,,,,,,,,,,,,,,,,,,,,,,,
18,11,,,,,,,,,,,,,,,,,,,,,,,,
20,11,,,,,,,,,,,,,,,,,,,,,,,,
22,11,,,,,,,,,,,,,,,,,,,,,,,,
24,11,,,,,,,,,,,,,,,,,,,,,,,,
26,11,,,,,,,,,,,,,,,,,,,,,,,,
28,11,,,,,,,,,,,,,,,,,,,,,,,,
30,12,,,,,,,,,,,,,,,,,,,,,,,,
32,13,,,,,,,,,,,,,,,,,,,,,,,,
34,13,,,,,,,,,,,,,,,,,,,,,,,,
36,15,,,,,,,,,,,,,,,,,,,,,,,,
38,12,,,,,,,,,,,,,,,,,,,,,,,,
40,12,,,,,,,,,,,,,,,,,,,,,,,,
42,12,,,,,,,,,,,,,,,,,,,,,,,,
44,12,,,,,,,,,,,,,,,,,,,,,,,,
46,12,,,,,,,,,,,,,,,,,,,,,,,,
48,12,,,,,,,,,,,,,,,,,,,,,,,,
50,15,,,,,,,,,,,,,,,,,,,,,,,,
52,14,,,,,,,,,,,,,,,,,,,,,,,,
54,12,,,,,,,,,,,,,,,,,,,,,,,,
56,12,,,,,,,,,,,,,,,,,,,,,,,,
58,12,,,,,,,,,,,,,,,,,,,,,,,,
60,14,,,,,,,,,,,,,,,,,,,,,,,,
62,14,,,,,,,,,,,,,,,,,,,,,,,,
64,12,,,,,,,,,,,,,,,,,,,,,,,,
66,12,,,,,,,,,,,,,,,,,,,,,,,,
68,13,,,,,,,,,,,,,,,,,,,,,,,,
70,13,,,,,,,,,,,,,,,,,,,,,,,,
72,13,,,,,,,,,,,,,,,,,,,,,,,,
74,14,,,,,,,,,,,,,,,,,,,,,,,,
76,14,,,,,,,,,,,,,,,,,,,,,,,,
78,15,,,,,,,,,,,,,,,,,,,,,,,,
80,13,,,,,,,,,,,,,,,,,,,,,,,,
82,13,,,,,,,,,,,,,,,,,,,,,,,,
84,16,,,,,,,,,,,,,,,,,,,,,,,,
86,15,,,,,,,,,,,,,,,,,,,,,,,,
88,15,,,,,,,,,,,,,,,,,,,,,,,,
90,14,,,,,,,,,,,,,,,,,,,,,,,,
92,14,,,,,,,,,,,,,,,,,,,,,,,,
94,14,,,,,,,,,,,,,,,,,,,,,,,,
96,15,,,,,,,,,,,,,,,,,,,,,,,,
98,15,,,,,,,,,,,,,,,,,,,,,,,,
100,16,,,,,,,,,,,,,,,,,,,,,,,,
102,16,,,,,,,,,,,,,,,,,,,,,,,,
104,15,,,,,,,,,,,,,,,,,,,,,,,,
106,15,,,,,,,,,,,,,,,,,,,,,,,,
108,15,,,,,,,,,,,,,,,,,,,,,,,,
110,15,,,,,,,,,,,,,,,,,,,,,,,,
112,15,,,,,,,,,,,,,,,,,,,,,,,,
114,15,,,,,,,,,,,,,,,,,,,,,,,,
116,15,,,,,,,,,,,,,,,,,,,,,,,,
118,15,,,,,,,,,,,,,,,,,,,,,,,,
120,16,,,,,,,,,,,,,,,,,,,,,,,,
122,15,,,,,,,,,,,,,,,,,,,,,,,,
124,15,,,,,,,,,,,,,,,,,,,,,,,,
126,14,,,,,,,,,,,,,,,,,,,,,,,,
128,15,,,,,,,,,,,,,,,,,,,,,,,,
130,14,,,,,,,,,,,,,,,,,,,,,,,,
132,14,,,,,,,,,,,,,,,,,,,,,,,,
134,18,,,,,,,,,,,,,,,,,,,,,,,,
136,21,,,,,,,,,,,,,,,,,,,,,,,,
138,17,,,,,,,,,,,,,,,,,,,,,,,,
140,16,,,,,,,,,,,,,,,,,,,,,,,,
142,16,,,,,,,,,,,,,,,,,,,,,,,,
144,16,,,,,,,,,,,,,,,,,,,,,,,,
146,16,,,,,,,,,,,,,,,,,,,,,,,,
148,20,,,,,,,,,,,,,,,,,,,,,,,,
150,17,,,,,,,,,,,,,,,,,,,,,,,,
152,16,,,,,,,,,,,,,,,,,,,,,,,,
154,16,,,,,,,,,,,,,,,,,,,,,,,,
156,16,,,,,,,,,,,,,,,,,,,,,,,,
158,16,,,,,,,,,,,,,,,,,,,,,,,,
160,16,,,,,,,,,,,,,,,,,,,,,,,,
162,16,,,,,,,,,,,,,,,,,,,,,,,,
164,16,,,,,,,,,,,,,,,,,,,,,,,,
166,17,,,,,,,,,,,,,,,,,,,,,,,,
168,18,,,,,,,,,,,,,,,,,,,,,,,,
170,17,,,,,,,,,,,,,,,,,,,,,,,,
172,17,,,,,,,,,,,,,,,,,,,,,,,,
174,20,,,,,,,,,,,,,,,,,,,,,,,,
176,18,,,,,,,,,,,,,,,,,,,,,,,,
178,17,,,,,,,,,,,,,,,,,,,,,,,,
180,19,,,,,,,,,,,,,,,,,,,,,,,,
182,18,,,,,,,,,,,,,,,,,,,,,,,,
184,18,,,,,,,,,,,,,,,,,,,,,,,,
186,18,,,,,,,,,,,,,,,,,,,,,,,,
188,18,,,,,,,,,,,,,,,,,,,,,,,,
190,19,,,,,,,,,,,,,,,,,,,,,,,,
192,18,,,,,,,,,,,,,,,,,,,,,,,,
194,18,,,,,,,,,,,,,,,,,,,,,,,,
196,17,,,,,,,,,,,,,,,,,,,,,,,,
198,17,,,,,,,,,,,,,,,,,,,,,,,,
200,18,,,,,,,,,,,,,,,,,,,,,,,,
202,18,,,,,,,,,,,,,,,,,,,,,,,,
204,18,,,,,,,,,,,,,,,,,,,,,,,,
206,18,,,,,,,,,,,,,,,,,,,,,,,,
208,17,,,,,,,,,,,,,,,,,,,,,,,,
210,18,,,,,,,,,,,,,,,,,,,,,,,,
212,17,,,,,,,,,,,,,,,,,,,,,,,,
214,17,,,,,,,,,,,,,,,,,,,,,,,,
216,18,,,,,,,,,,,,,,,,,,,,,,,,
218,18,,,,,,,,,,,,,,,,,,,,,,,,
220,18,,,,,,,,,,,,,,,,,,,,,,,,
222,19,,,,,,,,,,,,,,,,,,,,,,,,
224,19,,,,,,,,,,,,,,,,,,,,,,,,
226,19,,,,,,,,,,,,,,,,,,,,,,,,
228,20,,,,,,,,,,,,,,,,,,,,,,,,
230,19,,,,,,,,,,,,,,,,,,,,,,,,
232,20,,,,,,,,,,,,,,,,,,,,,,,,
234,20,,,,,,,,,,,,,,,,,,,,,,,,
236,19,,,,,,,,,,,,,,,,,,,,,,,,
238,19,,,,,,,,,,,,,,,,,,,,,,,,
240,19,,,,,,,,,,,,,,,,,,,,,,,,
242,19,,,,,,,,,,,,,,,,,,,,,,,,
244,19,,,,,,,,,,,,,,,,,,,,,,,,
246,20,,,,,,,,,,,,,,,,,,,,,,,,
248,22,,,,,,,,,,,,,,,,,,,,,,,,
250,20,,,,,,,,,,,,,,,,,,,,,,,,
252,20,,,,,,,,,,,,,,,,,,,,,,,,
254,20,,,,,,,,,,,,,,,,,,,,,,,,
256,20,,,,,,,,,,,,,,,,,,,,,,,,
258,21,,,,,,,,,,,,,,,,,,,,,,,,
260,21,,,,,,,,,,,,,,,,,,,,,,,,
262,20,,,,,,,,,,,,,,,,,,,,,,,,
264,21,,,,,,,,,,,,,,,,,,,,,,,,
266,22,,,,,,,,,,,,,,,,,,,,,,,,
268,22,,,,,,,,,,,,,,,,,,,,,,,,
270,22,,,,,,,,,,,,,,,,,,,,,,,,
272,21,,,,,,,,,,,,,,,,,,,,,,,,
274,20,,,,,,,,,,,,,,,,,,,,,,,,
276,21,,,,,,,,,,,,,,,,,,,,,,,,
278,21,,,,,,,,,,,,,,,,,,,,,,,,
280,21,,,,,,,,,,,,,,,,,,,,,,,,
282,21,,,,,,,,,,,,,,,,,,,,,,,,
284,22,,,,,,,,,,,,,,,,,,,,,,,,
286,22,,,,,,,,,,,,,,,,,,,,,,,,
288,25,,,,,,,,,,,,,,,,,,,,,,,,
290,23,,,,,,,,,,,,,,,,,,,,,,,,
292,22,,,,,,,,,,,,,,,,,,,,,,,,
294,23,,,,,,,,,,,,,,,,,,,,,,,,
296,23,,,,,,,,,,,,,,,,,,,,,,,,
298,23,,,,,,,,,,,,,,,,,,,,,,,,
300,24,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Testing size of 100000--------------,,,,,,,,,,,,,,,,,,,,,,,,,
2,17,,,,,,,,,,,,,,,,,,,,,,,,
4,19,,,,,,,,,,,,,,,,,,,,,,,,
6,18,,,,,,,,,,,,,,,,,,,,,,,,
8,16,,,,,,,,,,,,,,,,,,,,,,,,
10,15,,,,,,,,,,,,,,,,,,,,,,,,
12,15,,,,,,,,,,,,,,,,,,,,,,,,
14,16,,,,,,,,,,,,,,,,,,,,,,,,
16,19,,,,,,,,,,,,,,,,,,,,,,,,
18,16,,,,,,,,,,,,,,,,,,,,,,,,
20,16,,,,,,,,,,,,,,,,,,,,,,,,
22,16,,,,,,,,,,,,,,,,,,,,,,,,
24,15,,,,,,,,,,,,,,,,,,,,,,,,
26,15,,,,,,,,,,,,,,,,,,,,,,,,
28,15,,,,,,,,,,,,,,,,,,,,,,,,
30,15,,,,,,,,,,,,,,,,,,,,,,,,
32,15,,,,,,,,,,,,,,,,,,,,,,,,
34,16,,,,,,,,,,,,,,,,,,,,,,,,
36,16,,,,,,,,,,,,,,,,,,,,,,,,
38,16,,,,,,,,,,,,,,,,,,,,,,,,
40,16,,,,,,,,,,,,,,,,,,,,,,,,
42,16,,,,,,,,,,,,,,,,,,,,,,,,
44,17,,,,,,,,,,,,,,,,,,,,,,,,
46,16,,,,,,,,,,,,,,,,,,,,,,,,
48,16,,,,,,,,,,,,,,,,,,,,,,,,
50,17,,,,,,,,,,,,,,,,,,,,,,,,
52,16,,,,,,,,,,,,,,,,,,,,,,,,
54,16,,,,,,,,,,,,,,,,,,,,,,,,
56,15,,,,,,,,,,,,,,,,,,,,,,,,
58,16,,,,,,,,,,,,,,,,,,,,,,,,
60,15,,,,,,,,,,,,,,,,,,,,,,,,
62,16,,,,,,,,,,,,,,,,,,,,,,,,
64,16,,,,,,,,,,,,,,,,,,,,,,,,
66,15,,,,,,,,,,,,,,,,,,,,,,,,
68,15,,,,,,,,,,,,,,,,,,,,,,,,
70,15,,,,,,,,,,,,,,,,,,,,,,,,
72,16,,,,,,,,,,,,,,,,,,,,,,,,
74,16,,,,,,,,,,,,,,,,,,,,,,,,
76,16,,,,,,,,,,,,,,,,,,,,,,,,
78,16,,,,,,,,,,,,,,,,,,,,,,,,
80,17,,,,,,,,,,,,,,,,,,,,,,,,
82,18,,,,,,,,,,,,,,,,,,,,,,,,
84,23,,,,,,,,,,,,,,,,,,,,,,,,
86,18,,,,,,,,,,,,,,,,,,,,,,,,
88,17,,,,,,,,,,,,,,,,,,,,,,,,
90,18,,,,,,,,,,,,,,,,,,,,,,,,
92,18,,,,,,,,,,,,,,,,,,,,,,,,
94,19,,,,,,,,,,,,,,,,,,,,,,,,
96,17,,,,,,,,,,,,,,,,,,,,,,,,
98,20,,,,,,,,,,,,,,,,,,,,,,,,
100,17,,,,,,,,,,,,,,,,,,,,,,,,
102,19,,,,,,,,,,,,,,,,,,,,,,,,
104,18,,,,,,,,,,,,,,,,,,,,,,,,
106,18,,,,,,,,,,,,,,,,,,,,,,,,
108,18,,,,,,,,,,,,,,,,,,,,,,,,
110,18,,,,,,,,,,,,,,,,,,,,,,,,
112,18,,,,,,,,,,,,,,,,,,,,,,,,
114,17,,,,,,,,,,,,,,,,,,,,,,,,
116,18,,,,,,,,,,,,,,,,,,,,,,,,
118,18,,,,,,,,,,,,,,,,,,,,,,,,
120,18,,,,,,,,,,,,,,,,,,,,,,,,
122,19,,,,,,,,,,,,,,,,,,,,,,,,
124,24,,,,,,,,,,,,,,,,,,,,,,,,
126,22,,,,,,,,,,,,,,,,,,,,,,,,
128,20,,,,,,,,,,,,,,,,,,,,,,,,
130,20,,,,,,,,,,,,,,,,,,,,,,,,
132,20,,,,,,,,,,,,,,,,,,,,,,,,
134,19,,,,,,,,,,,,,,,,,,,,,,,,
136,19,,,,,,,,,,,,,,,,,,,,,,,,
138,19,,,,,,,,,,,,,,,,,,,,,,,,
140,19,,,,,,,,,,,,,,,,,,,,,,,,
142,19,,,,,,,,,,,,,,,,,,,,,,,,
144,20,,,,,,,,,,,,,,,,,,,,,,,,
146,19,,,,,,,,,,,,,,,,,,,,,,,,
148,20,,,,,,,,,,,,,,,,,,,,,,,,
150,20,,,,,,,,,,,,,,,,,,,,,,,,
152,20,,,,,,,,,,,,,,,,,,,,,,,,
154,19,,,,,,,,,,,,,,,,,,,,,,,,
156,20,,,,,,,,,,,,,,,,,,,,,,,,
158,19,,,,,,,,,,,,,,,,,,,,,,,,
160,24,,,,,,,,,,,,,,,,,,,,,,,,
162,30,,,,,,,,,,,,,,,,,,,,,,,,
164,25,,,,,,,,,,,,,,,,,,,,,,,,
166,23,,,,,,,,,,,,,,,,,,,,,,,,
168,23,,,,,,,,,,,,,,,,,,,,,,,,
170,22,,,,,,,,,,,,,,,,,,,,,,,,
172,22,,,,,,,,,,,,,,,,,,,,,,,,
174,22,,,,,,,,,,,,,,,,,,,,,,,,
176,25,,,,,,,,,,,,,,,,,,,,,,,,
178,22,,,,,,,,,,,,,,,,,,,,,,,,
180,22,,,,,,,,,,,,,,,,,,,,,,,,
182,23,,,,,,,,,,,,,,,,,,,,,,,,
184,23,,,,,,,,,,,,,,,,,,,,,,,,
186,24,,,,,,,,,,,,,,,,,,,,,,,,
188,23,,,,,,,,,,,,,,,,,,,,,,,,
190,23,,,,,,,,,,,,,,,,,,,,,,,,
192,25,,,,,,,,,,,,,,,,,,,,,,,,
194,28,,,,,,,,,,,,,,,,,,,,,,,,
196,25,,,,,,,,,,,,,,,,,,,,,,,,
198,24,,,,,,,,,,,,,,,,,,,,,,,,
200,23,,,,,,,,,,,,,,,,,,,,,,,,
202,23,,,,,,,,,,,,,,,,,,,,,,,,
204,23,,,,,,,,,,,,,,,,,,,,,,,,
206,26,,,,,,,,,,,,,,,,,,,,,,,,
208,22,,,,,,,,,,,,,,,,,,,,,,,,
210,23,,,,,,,,,,,,,,,,,,,,,,,,
212,22,,,,,,,,,,,,,,,,,,,,,,,,
214,22,,,,,,,,,,,,,,,,,,,,,,,,
216,22,,,,,,,,,,,,,,,,,,,,,,,,
218,23,,,,,,,,,,,,,,,,,,,,,,,,
220,23,,,,,,,,,,,,,,,,,,,,,,,,
222,26,,,,,,,,,,,,,,,,,,,,,,,,
224,27,,,,,,,,,,,,,,,,,,,,,,,,
226,25,,,,,,,,,,,,,,,,,,,,,,,,
228,25,,,,,,,,,,,,,,,,,,,,,,,,
230,25,,,,,,,,,,,,,,,,,,,,,,,,
232,24,,,,,,,,,,,,,,,,,,,,,,,,
234,24,,,,,,,,,,,,,,,,,,,,,,,,
236,26,,,,,,,,,,,,,,,,,,,,,,,,
238,25,,,,,,,,,,,,,,,,,,,,,,,,
240,24,,,,,,,,,,,,,,,,,,,,,,,,
242,25,,,,,,,,,,,,,,,,,,,,,,,,
244,25,,,,,,,,,,,,,,,,,,,,,,,,
246,24,,,,,,,,,,,,,,,,,,,,,,,,
248,24,,,,,,,,,,,,,,,,,,,,,,,,
250,24,,,,,,,,,,,,,,,,,,,,,,,,
252,26,,,,,,,,,,,,,,,,,,,,,,,,
254,27,,,,,,,,,,,,,,,,,,,,,,,,
256,26,,,,,,,,,,,,,,,,,,,,,,,,
258,30,,,,,,,,,,,,,,,,,,,,,,,,
260,27,,,,,,,,,,,,,,,,,,,,,,,,
262,26,,,,,,,,,,,,,,,,,,,,,,,,
264,26,,,,,,,,,,,,,,,,,,,,,,,,
266,26,,,,,,,,,,,,,,,,,,,,,,,,
268,25,,,,,,,,,,,,,,,,,,,,,,,,
270,26,,,,,,,,,,,,,,,,,,,,,,,,
272,26,,,,,,,,,,,,,,,,,,,,,,,,
274,27,,,,,,,,,,,,,,,,,,,,,,,,
276,27,,,,,,,,,,,,,,,,,,,,,,,,
278,27,,,,,,,,,,,,,,,,,,,,,,,,
280,27,,,,,,,,,,,,,,,,,,,,,,,,
282,27,,,,,,,,,,,,,,,,,,,,,,,,
284,29,,,,,,,,,,,,,,,,,,,,,,,,
286,29,,,,,,,,,,,,,,,,,,,,,,,,
288,28,,,,,,,,,,,,,,,,,,,,,,,,
290,28,,,,,,,,,,,,,,,,,,,,,,,,
292,30,,,,,,,,,,,,,,,,,,,,,,,,
294,29,,,,,,,,,,,,,,,,,,,,,,,,
296,29,,,,,,,,,,,,,,,,,,,,,,,,
298,29,,,,,,,,,,,,,,,,,,,,,,,,
300,30,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Testing size of 200000--------------,,,,,,,,,,,,,,,,,,,,,,,,,
2,45,,,,,,,,,,,,,,,,,,,,,,,,
4,46,,,,,,,,,,,,,,,,,,,,,,,,
6,45,,,,,,,,,,,,,,,,,,,,,,,,
8,46,,,,,,,,,,,,,,,,,,,,,,,,
10,41,,,,,,,,,,,,,,,,,,,,,,,,
12,41,,,,,,,,,,,,,,,,,,,,,,,,
14,40,,,,,,,,,,,,,,,,,,,,,,,,
16,40,,,,,,,,,,,,,,,,,,,,,,,,
18,45,,,,,,,,,,,,,,,,,,,,,,,,
20,47,,,,,,,,,,,,,,,,,,,,,,,,
22,44,,,,,,,,,,,,,,,,,,,,,,,,
24,46,,,,,,,,,,,,,,,,,,,,,,,,
26,53,,,,,,,,,,,,,,,,,,,,,,,,
28,48,,,,,,,,,,,,,,,,,,,,,,,,
30,44,,,,,,,,,,,,,,,,,,,,,,,,
32,45,,,,,,,,,,,,,,,,,,,,,,,,
34,48,,,,,,,,,,,,,,,,,,,,,,,,
36,45,,,,,,,,,,,,,,,,,,,,,,,,
38,48,,,,,,,,,,,,,,,,,,,,,,,,
40,48,,,,,,,,,,,,,,,,,,,,,,,,
42,46,,,,,,,,,,,,,,,,,,,,,,,,
44,46,,,,,,,,,,,,,,,,,,,,,,,,
46,46,,,,,,,,,,,,,,,,,,,,,,,,
48,49,,,,,,,,,,,,,,,,,,,,,,,,
50,50,,,,,,,,,,,,,,,,,,,,,,,,
52,51,,,,,,,,,,,,,,,,,,,,,,,,
54,55,,,,,,,,,,,,,,,,,,,,,,,,
56,53,,,,,,,,,,,,,,,,,,,,,,,,
58,55,,,,,,,,,,,,,,,,,,,,,,,,
60,55,,,,,,,,,,,,,,,,,,,,,,,,
62,54,,,,,,,,,,,,,,,,,,,,,,,,
64,57,,,,,,,,,,,,,,,,,,,,,,,,
66,57,,,,,,,,,,,,,,,,,,,,,,,,
68,64,,,,,,,,,,,,,,,,,,,,,,,,
70,58,,,,,,,,,,,,,,,,,,,,,,,,
72,59,,,,,,,,,,,,,,,,,,,,,,,,
74,62,,,,,,,,,,,,,,,,,,,,,,,,
76,61,,,,,,,,,,,,,,,,,,,,,,,,
78,59,,,,,,,,,,,,,,,,,,,,,,,,
80,63,,,,,,,,,,,,,,,,,,,,,,,,
82,65,,,,,,,,,,,,,,,,,,,,,,,,
84,61,,,,,,,,,,,,,,,,,,,,,,,,
86,60,,,,,,,,,,,,,,,,,,,,,,,,
88,64,,,,,,,,,,,,,,,,,,,,,,,,
90,62,,,,,,,,,,,,,,,,,,,,,,,,
92,65,,,,,,,,,,,,,,,,,,,,,,,,
94,64,,,,,,,,,,,,,,,,,,,,,,,,
96,64,,,,,,,,,,,,,,,,,,,,,,,,
98,65,,,,,,,,,,,,,,,,,,,,,,,,
100,66,,,,,,,,,,,,,,,,,,,,,,,,
102,65,,,,,,,,,,,,,,,,,,,,,,,,
104,76,,,,,,,,,,,,,,,,,,,,,,,,
106,71,,,,,,,,,,,,,,,,,,,,,,,,
108,69,,,,,,,,,,,,,,,,,,,,,,,,
110,71,,,,,,,,,,,,,,,,,,,,,,,,
112,70,,,,,,,,,,,,,,,,,,,,,,,,
114,75,,,,,,,,,,,,,,,,,,,,,,,,
116,76,,,,,,,,,,,,,,,,,,,,,,,,
118,73,,,,,,,,,,,,,,,,,,,,,,,,
120,81,,,,,,,,,,,,,,,,,,,,,,,,
122,76,,,,,,,,,,,,,,,,,,,,,,,,
124,82,,,,,,,,,,,,,,,,,,,,,,,,
126,78,,,,,,,,,,,,,,,,,,,,,,,,
128,79,,,,,,,,,,,,,,,,,,,,,,,,
130,77,,,,,,,,,,,,,,,,,,,,,,,,
132,76,,,,,,,,,,,,,,,,,,,,,,,,
134,79,,,,,,,,,,,,,,,,,,,,,,,,
136,77,,,,,,,,,,,,,,,,,,,,,,,,
138,79,,,,,,,,,,,,,,,,,,,,,,,,
140,78,,,,,,,,,,,,,,,,,,,,,,,,
142,78,,,,,,,,,,,,,,,,,,,,,,,,
144,89,,,,,,,,,,,,,,,,,,,,,,,,
146,85,,,,,,,,,,,,,,,,,,,,,,,,
148,84,,,,,,,,,,,,,,,,,,,,,,,,
